,LOCATION,BLI,GPD
0,AUS,7.1,56000.130076
1,AUT,7.2,57235.673886
2,BEL,6.8,54652.164337
3,CAN,7.0,47226.357276
4,CZE,6.9,42817.867499
5,DNK,7.5,60768.060489
6,FIN,7.9,52294.342491
7,FRA,6.7,47982.359606
8,DEU,7.3,56454.181109
9,GRC,5.8,28349.491127
10,HUN,6.0,34169.922355
11,ISL,7.6,54330.385248
12,IRL,7.0,94646.640757
13,ITA,6.5,43150.115981
14,JPN,6.1,41867.153393
15,KOR,5.8,44694.939796
16,LUX,7.4,119407.898814
17,MEX,6.0,18978.937139
18,NLD,7.5,59821.266235
19,NZL,7.3,45457.178769
20,NOR,7.3,65135.920669
21,POL,6.1,34896.8226
22,PRT,5.8,34955.61156
23,SVK,6.5,32912.709886
24,ESP,6.5,38030.728528
25,SWE,7.3,56140.551353
26,CHE,7.5,71010.450577
27,TUR,4.9,27973.899303
28,GBR,6.8,45756.801675
29,USA,7.0,63480.861222
30,BRA,6.1,15173.607426
31,CHL,6.2,24738.720579
32,EST,6.5,39460.614767
33,ISR,7.2,40073.058669
34,LVA,6.2,32810.267063
35,RUS,5.5,29819.046969
36,SVN,6.5,40885.50612
37,ZAF,4.9,13716.632593
38,OECD,6.7,45378.713391
39,COL,5.7,15614.989482
40,LTU,6.4,40211.863803
41,CRI,6.3,21755.528069
